gen1r,gen2,gen3r,gen4,gen5,gen6,check1,gen7r,gen8r,itss1r,itss2,itss3r,check2,itss4,itss5,itss6,itss7r,itss8r,iti1r,iti2,iti3r,iti4,iti5,check3,iti6,iti7r,iti8r,check4,age,gender
3,5,5,2,2,3,NA,2,5,2,6,2,NA,5,6,5,2,2,3,5,2,5,5,NA,5,3,3,NA,39,1
5,6,4,5,5,6,NA,1,5,3,6,3,NA,6,7,6,3,6,3,6,1,6,6,NA,7,3,3,NA,53,2
3,5,3,4,3,5,NA,3,5,2,5,3,NA,5,5,5,3,3,5,5,3,2,4,NA,5,5,3,NA,26,1
3,5,3,5,5,5,NA,3,3,1,7,1,NA,7,7,7,1,1,2,6,2,6,6,NA,6,2,2,NA,23,2
2,6,2,6,6,6,NA,1,4,2,6,2,NA,6,6,6,2,2,1,7,1,6,6,NA,6,2,2,NA,30,1
5,4,3,5,4,5,NA,5,5,3,4,5,NA,6,5,5,6,5,5,3,5,5,3,NA,5,5,3,NA,27,2
2,6,3,5,5,5,NA,3,2,5,2,5,NA,3,3,3,5,6,6,2,6,4,4,NA,3,6,6,NA,22,1
5,3,5,3,3,3,NA,5,5,2,1,1,NA,7,7,7,1,1,3,5,3,5,5,NA,5,3,3,NA,49,2
2,6,2,6,6,5,NA,2,6,2,6,2,NA,6,6,5,2,2,2,6,2,6,6,NA,5,2,2,NA,33,1
6,3,6,2,2,3,NA,6,6,2,2,1,NA,6,6,6,2,2,2,6,2,6,6,NA,7,3,2,NA,27,2
5,3,6,2,2,3,NA,7,6,2,7,1,NA,7,6,5,1,1,6,2,6,2,2,NA,2,7,6,NA,33,1
2,6,2,6,6,6,NA,2,2,2,6,2,NA,6,6,6,2,2,2,5,2,5,5,NA,4,3,3,NA,47,1
3,5,3,5,5,5,NA,3,3,3,6,3,NA,6,5,5,3,3,3,5,3,5,5,NA,5,3,3,NA,44,2
5,6,4,5,5,5,NA,6,5,4,6,5,NA,5,6,6,5,2,3,6,3,6,6,NA,5,3,3,NA,22,1
2,6,2,6,6,5,NA,1,2,1,6,2,NA,6,6,6,1,1,2,5,2,5,6,NA,6,2,1,NA,30,2
2,5,2,5,6,2,NA,2,2,2,6,2,NA,6,6,5,2,2,3,5,3,5,5,NA,5,3,3,NA,31,1
3,5,6,5,7,7,NA,3,3,4,7,7,NA,7,7,7,7,4,3,6,2,6,6,NA,6,7,7,NA,19,1
6,2,6,2,2,2,NA,6,6,4,6,2,NA,5,5,6,3,4,5,3,5,5,2,NA,6,6,7,3,25,1
5,5,5,2,5,3,NA,5,4,5,4,3,NA,5,4,4,2,5,5,3,5,2,5,NA,3,5,4,NA,31,1
2,6,3,6,6,6,NA,3,4,3,5,3,NA,6,6,6,3,3,4,5,3,5,5,NA,5,3,4,NA,35,1
3,5,4,5,5,5,NA,5,3,2,6,3,NA,5,5,5,3,4,4,5,3,4,4,NA,5,3,3,NA,29,1
5,3,5,3,3,3,NA,5,5,2,6,2,NA,6,6,6,2,2,5,5,5,3,3,NA,3,5,5,NA,51,1
5,5,3,5,2,5,NA,3,3,1,7,2,NA,7,7,6,2,2,3,5,3,5,5,NA,6,2,2,NA,28,1
2,5,2,5,7,6,NA,3,2,3,5,3,NA,5,5,5,2,3,5,3,5,3,2,NA,2,5,5,NA,57,1
3,5,4,5,5,5,NA,5,4,2,6,2,NA,6,6,6,2,2,2,6,3,5,6,NA,5,4,3,NA,28,2
5,3,5,4,4,2,6,4,4,6,3,5,4,6,3,4,2,5,6,2,4,5,2,4,6,3,5,4,26,1
2,6,2,6,6,6,NA,2,2,3,5,1,NA,6,4,5,2,2,2,5,3,5,4,NA,4,4,3,NA,57,2
3,5,3,6,6,6,NA,2,3,2,6,1,NA,6,6,6,2,2,6,2,6,2,2,NA,2,7,6,NA,34,2
3,3,3,5,5,5,NA,3,3,3,5,2,NA,5,5,5,3,3,5,5,5,3,3,NA,5,5,5,NA,57,2
5,5,5,3,3,3,NA,3,5,2,5,2,NA,6,6,6,2,2,5,3,5,3,3,NA,3,5,5,NA,60,1
5,3,5,3,3,3,NA,5,5,2,5,3,NA,5,5,5,3,3,6,2,6,2,2,NA,2,6,6,NA,63,2
5,3,5,3,3,3,NA,6,5,3,4,3,NA,6,4,5,3,3,5,3,5,3,3,NA,2,6,6,NA,61,2
5,5,5,5,5,5,NA,4,5,3,5,4,NA,5,5,5,3,5,4,4,4,4,4,NA,5,3,3,NA,53,2
5,3,5,3,3,6,NA,5,5,2,6,2,NA,6,6,4,2,2,3,5,3,5,5,NA,5,3,3,NA,49,2
2,5,3,6,6,6,NA,2,2,3,6,2,NA,6,6,6,2,2,2,6,1,6,6,NA,6,2,2,NA,24,1
1,7,1,7,7,7,NA,1,1,1,7,1,NA,7,7,7,1,1,1,7,1,7,7,NA,7,1,1,NA,21,2
5,3,5,5,3,3,NA,5,5,3,5,3,NA,5,5,5,3,3,5,3,3,3,3,NA,3,5,5,NA,43,2
5,6,4,4,6,5,5,4,3,4,5,3,NA,3,5,5,4,5,3,5,5,4,4,NA,3,5,5,NA,23,1
6,2,6,2,2,2,NA,6,6,2,6,2,NA,6,6,6,2,2,7,1,7,1,1,NA,1,7,7,NA,34,1
2,6,2,6,6,6,NA,2,2,3,4,2,NA,4,5,5,3,3,5,3,5,3,3,NA,3,3,5,NA,41,2
6,3,5,3,3,3,NA,6,6,3,5,3,NA,5,4,4,3,3,5,5,5,3,3,NA,3,5,5,NA,52,1
1,7,1,7,7,7,NA,1,1,3,5,5,NA,5,5,5,5,4,2,6,2,6,6,NA,6,2,2,NA,24,2
3,5,3,5,5,6,NA,3,3,2,2,2,NA,6,6,6,2,2,2,5,2,6,5,NA,6,2,2,NA,23,1
5,3,5,3,2,5,NA,5,6,1,7,1,NA,7,7,6,2,2,6,2,6,2,2,NA,2,6,6,NA,50,2
3,5,3,5,6,5,NA,2,2,1,7,1,NA,7,3,6,2,2,6,2,6,2,2,NA,1,7,6,NA,33,1
5,3,3,2,5,2,NA,3,3,1,7,1,NA,6,6,7,1,1,6,2,6,2,2,NA,2,6,6,NA,24,2
5,5,5,5,5,5,NA,5,6,3,6,3,NA,5,5,5,3,3,7,2,7,2,2,NA,2,7,7,NA,28,2
5,3,5,3,3,3,NA,5,5,4,3,4,NA,3,3,3,4,5,5,3,5,3,3,NA,NA,5,5,NA,51,2
6,2,6,2,2,2,NA,6,6,3,3,5,NA,3,3,3,5,5,3,6,2,5,5,NA,5,3,3,NA,31,2
2,5,3,3,5,5,NA,3,5,2,6,2,NA,6,6,6,2,2,5,3,5,5,3,NA,3,5,5,NA,40,2
5,3,6,2,3,3,NA,6,6,3,6,2,NA,6,6,6,2,2,6,2,6,2,2,NA,2,6,6,NA,31,2
2,5,5,3,5,4,NA,3,4,5,3,5,NA,3,3,3,5,6,5,3,5,3,3,NA,3,5,6,NA,35,2
2,6,2,6,6,6,NA,2,2,2,6,2,NA,6,6,6,2,2,2,2,2,6,6,NA,6,2,2,NA,57,2
2,5,2,5,6,6,NA,2,2,1,4,2,NA,5,5,6,2,2,5,2,6,2,2,NA,1,7,6,NA,21,2
3,5,3,5,5,5,NA,2,3,4,5,4,NA,5,5,5,3,4,4,5,4,4,4,NA,5,5,4,NA,29,2
1,6,1,6,6,6,NA,1,2,2,7,2,NA,6,6,6,1,1,2,7,1,7,7,NA,7,2,1,NA,51,2
