ltss1r,ltss2r,ltss3r,ltss4,ltss5,ltss6,lti1r,lti2r,lti3,lti4,lti5r,lti6,diff.imposs1,diff.imposs2,diff.imposs3,diff.imposs4,gpa,cond,gender,grade,age
6,6,6,6,6,6,4,4,4,4,4,4,6,6,4,4,0.4285714286,ctrl,male,2,16
2,3,3,6,6,5,6,7,6,7,4,4,4,4,4,4,3,ctrl,Male,3,16
2,2,2,6,6,6,6,5,6,4,2,5,5,4,4,4,3.857142857,stem,female,3,16
2,5,2,2,5,5,5,5,4,6,5,5,5,3,4,4,3.714285714,ltss,female,2,16
2,6,2,6,6,6,7,6,2,6,6,6,2,2,2,4,1.428571429,ltss,Man,2,16
7,7,7,6,6,6,2,6,6,6,6,3,6,6,5,2,1.428571429,gen.ed,f,2,16
5,2,2,7,6,6,6,6,6,6,6,6,6,6,6,6,3.285714286,stem,Female,3,17
3,4,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.285714286,gen.ed,,NA,
5,2,2,6,6,6,6,7,6,6,5,6,6,6,5,6,2.142857143,stem,female,2,16
1,1,1,7,7,7,4,4,5,5,5,4,4,4,4,3,3.142857143,gen.ed,male,2,15
2,2,5,3,5,6,5,6,6,5,5,6,5,5,1,2,1.571428571,gen.ed,girl,1,16
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.857142857,ltss,male ,2,16
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.428571429,ctrl,male,2,16
6,7,5,7,6,6,6,7,7,7,7,7,6,6,6,7,0.2857142857,ltss,m,3,16
6,6,6,5,3,5,4,4,4,4,4,4,4,4,2,5,2.142857143,stem,male,1,15
4,3,2,5,4,7,4,4,4,4,4,4,3,4,4,4,1.142857143,gen.ed,male,1,15
1,2,2,6,6,7,6,7,7,6,1,7,7,7,6,7,2.714285714,ctrl,female,3,17
6,6,6,7,4,6,4,2,6,6,2,6,3,3,2,2,0.8571428571,gen.ed,female,2,16
6,2,2,7,6,5,4,4,4,4,4,4,1,1,1,1,0,stem,man,1,34
4,5,4,6,6,7,1,1,7,7,1,7,4,2,1,1,1.142857143,ltss,male,1,15
3,4,6,5,5,4,4,4,4,4,4,4,4,4,4,4,2.285714286,ltss,Female ,2,16
3,3,2,7,6,6,1,1,5,5,3,6,4,2,4,3,2.857142857,ltss,male,2,15
6,2,7,6,5,6,4,6,5,6,4,6,5,5,5,6,1.428571429,stem,female,2,16
2,2,2,7,7,6,3,7,5,2,2,3,2,3,2,3,2.285714286,gen.ed,female,3,18
5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1.714285714,ltss,male,2,16
4,4,4,4,4,4,4,4,NA,4,4,4,5,5,5,5,1,stem,female,2,16
6,5,6,7,6,7,5,5,5,5,5,5,5,4,5,6,2.285714286,gen.ed,male,1,16
2,3,4,6,5,6,4,4,4,4,4,4,4,6,6,4,2.714285714,ctrl,Female,3,17
4,5,6,5,5,6,6,7,6,7,6,6,5,6,7,7,1.142857143,stem,Male,2,15
4,2,2,5,5,5,2,2,5,6,2,6,3,5,2,6,2.428571429,ctrl,G,2,15
3,4,3,7,7,5,1,1,7,7,5,7,4,3,4,3,0.8571428571,ctrl,m,1,16
3,4,5,6,6,7,6,5,6,5,6,7,5,5,4,4,0.1428571429,ctrl,male,1,15
3,7,2,5,4,5,3,5,5,6,5,6,1,7,5,5,2.571428571,gen.ed,Male,3,17
4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,2.428571429,stem,f,3,17
5,4,5,6,5,6,5,2,6,7,2,7,3,6,5,3,2.142857143,stem,male,3,16
2,1,6,6,5,5,2,2,6,6,5,6,3,3,2,2,1.857142857,ctrl,female,3,16
2,2,2,6,6,6,2,2,5,5,5,5,4,3,4,4,3.285714286,ltss,Male,3,17
6,6,6,2,2,2,6,6,6,6,6,6,6,6,6,6,1.714285714,ctrl,female,3,17
3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.285714286,gen.ed,male,2,16
2,2,2,6,6,6,5,3,5,6,5,5,2,3,2,3,3.571428571,ctrl,female,2,17
5,4,2,5,4,5,4,4,6,6,4,4,4,6,5,4,0.2857142857,stem,female,2,16
3,6,7,7,7,7,6,1,7,6,1,7,1,1,1,1,1.571428571,stem,male,1,15
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.142857143,stem,Male,2,16
3,4,4,5,5,4,5,5,6,5,5,5,4,5,4,5,2.571428571,ltss,female,3,17
4,2,2,6,7,6,3,3,5,6,3,6,3,3,3,4,2.714285714,stem,female,2,16
4,4,4,4,5,5,4,4,4,4,4,4,4,2,4,4,1.857142857,ctrl,female,1,15
3,7,6,6,6,6,3,5,6,3,5,7,7,5,2,5,1,ltss,female,3,17
2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1.714285714,ctrl,male,2,16
3,3,5,5,2,6,2,2,6,6,3,7,5,2,2,2,2.428571429,ltss,men,1,16
2,2,3,7,6,7,5,2,5,5,1,7,5,6,5,3,2.142857143,ltss,female,2,15
1,1,1,7,7,7,4,4,4,4,4,4,7,7,2,3,3.285714286,stem,male,3,17
5,6,2,7,7,6,5,5,6,6,5,6,4,4,4,4,0.8571428571,ctrl,male,2,16
1,2,3,7,7,7,1,1,7,7,5,7,2,2,2,2,2.857142857,ltss,male,1,14
2,2,1,7,6,6,5,5,5,5,5,5,1,1,5,5,1.857142857,gen.ed,female,2,16
3,3,6,6,6,5,4,6,7,5,7,3,2,NA,2,2,2.428571429,gen.ed,male,1,16
5,4,4,6,7,6,5,4,6,6,5,5,5,5,4,4,2.714285714,stem,Female,1,14
2,2,2,7,7,7,4,4,4,4,4,4,4,4,4,4,1.285714286,stem,male,2,15
4,1,5,6,6,6,7,7,7,7,7,7,6,5,7,4,1.714285714,stem,male,2,16
1,2,2,6,5,6,5,4,6,5,6,5,2,2,2,2,3.571428571,ltss,female ,2,16
2,2,2,6,6,6,4,4,4,4,4,4,4,4,4,4,3,ctrl,male,2,16
4,2,2,6,6,6,3,4,5,4,4,5,5,5,5,5,3.142857143,gen.ed,mALE,1,15
3,6,4,5,1,6,6,6,7,6,5,5,5,6,6,7,1.571428571,ctrl,male,2,16
3,2,2,6,6,5,2,2,6,6,5,5,3,4,4,5,0.8571428571,ltss,male,2,15
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,stem,male,2,16
3,2,6,5,3,1,5,5,6,5,5,5,6,5,5,6,2.571428571,stem,male,1,15
5,5,3,6,6,6,3,4,6,6,5,5,2,2,2,2,3,stem,Female ,1,15
5,5,5,3,1,1,4,4,4,4,4,4,5,5,4,4,1.714285714,ctrl,men,1,15
