school.x,year,entity1,entity2,entity3,entity4,increment1,increment2,increment3,increment4,ltss1,ltss2r,ltss3,dircheck1,ltss4r,lti1r,dircheck2,lti2,lti3r,ladder,income,gender,anagramwords,correctwords,totalwords,collegetype
University of Nebraska-Lincoln,4,NA,NA,NA,NA,5,5,5,6,6,6,7,NA,2,5,NA,5,5,3,5,1,"car, race, lace, lare, are, gar, gear, care, rale, rage, age, cage, clear, lear, ear, cager, rake, crag, rag, creak, grace, ace, acer, leak, gale, ale, ",24,27,public
University of Rochester,4,1,1,1,1,NA,NA,NA,NA,6,1,6,NA,1,3,NA,4,3,8,1,1,"rage, cake, care, kale, gale, gale, rag, rack, rake, goal, race, grace, ",10,13,private
California Polytechnic University Pomona,2,4,3,3,5,NA,NA,NA,NA,3,5,3,NA,6,2,NA,5,6,3,6,1,"Leak, Rage, Gale, Kale, Rag, Lag, Large, Lack, Real, Rake, Race, Car, Care, Leg, Cage",15,15,public
Northeastern University,2,2,1,1,3,NA,NA,NA,NA,2,2,6,NA,2,1,NA,6,2,7,2,1,"creak, leg, real, keg, kale, leak, cake, ear, lake, rake, gale, lag, cal, cage, are, arg, arc, ark, earl, crag, gear, ",19,22,private
Folsom Lake College,2,NA,NA,NA,NA,5,1,2,3,2,5,3,NA,6,6,NA,6,6,7,3,1,"RACE, CAR, LACE, KEG, LAG, RAG, RAGE, LAGER, REAL, LACK, GRACE, RACK, LEG, RAKE, CREAK",15,15,public
SNHU,1,NA,NA,NA,NA,4,5,4,4,5,4,5,NA,3,3,NA,4,3,6,3,2,"LAKE, RAKE, RAG, ",3,4,private
csub-cal state university of bakersfield,6,NA,NA,NA,NA,4,5,5,4,6,2,6,NA,2,2,NA,6,2,7,2,1,"rag, clear, gear, lear, cake, glare, rack, keg, car, care, leak, ace",12,12,public
Emory University,2,NA,NA,NA,NA,6,5,5,4,5,2,6,NA,3,6,NA,3,6,6,3,1,"lack, rack, gel, leg, elk, crag, lark, real, gale, car, creak, clear, large, clerk, grace, glare, regal, earl, lager, leak, rage, lace, care, calk, cake, ear, ark, arc, era, grackle",30,30,private
Brandeis University,5,3,3,3,4,NA,NA,NA,NA,4,4,4,NA,4,3,NA,5,3,4,3,1,"race, real, gel, clear, rake, cake, care, crag, are, ear, acre, glare, cage, rage, age, era, rack, lack, lace, gal, lag, rag, ale, lake, large, car, care, gear, leak, ace, lark, ",30,32,private
ASU,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,public
Florida community college,2,NA,NA,NA,NA,4,5,5,4,5,5,4,NA,5,3,NA,3,3,5,2,2,"lake, kale, keg, leg, real, rale, rag, cage, rage, lace, race, car, care, rake, cake, lake, ",15,17,community
University of Texas,4,5,4,4,5,NA,NA,NA,NA,4,5,4,4,6,5,6,5,5,7,2,1,"Keg, rag, car, race, care, cake, ace, lace, gal, are, age, rake, rage, ",13,14,public
Virginia Commonwealth University,3,NA,NA,NA,NA,5,5,5,5,6,2,5,NA,2,3,NA,5,3,4,4,2,"care, lace, race, cage, gar, car, rack, glare, rage, lake, gel, ark, arc, ",13,14,public
Northeastern University,3,NA,NA,NA,NA,5,5,6,6,6,2,6,NA,1,7,NA,2,7,3,2,1,"leg, keg, car, care, lag, lake, kale, ale, real, clear, gel, keal, geal, creal, gare, gear, rage, rag, creak, ",15,20,private
Boston Univesrsity,3,NA,NA,NA,NA,5,5,4,3,3,2,5,NA,3,6,NA,2,6,6,3,2,"creak, cage, rake, lake, cake, real, kale, gale, gear, care, glare, keg, crag, lag, rag, ",15,16,private
Montclair State University,2,3,4,5,3,NA,NA,NA,NA,4,4,4,NA,4,4,NA,3,4,7,5,1,"glare, lake, car, ",3,4,public
Ashland Univeristy,3,4,3,2,1,NA,NA,NA,NA,6,2,6,NA,2,3,NA,5,5,4,4,2,"grackle, keg, cake, crack, leg, leak, rag, rage, rake, lag, creak, car, ",11,13,private
Bakersfield college ,3,NA,NA,NA,NA,5,5,5,5,6,1,6,NA,1,1,NA,7,4,5,3,1,"Rack, Crack, ear, car, lag, care, lake",6,7,community
"university of nevada, reno",6,NA,NA,NA,NA,5,5,5,5,5,5,5,NA,5,6,NA,2,6,6,3,1,"lake, cake, rack, rake, lack, keg, car, gale, leg, rag, race, lace, gear, clear, crag, ",15,16,public
Linn Benton Community College,2,1,1,1,2,NA,NA,NA,NA,5,5,5,NA,3,5,NA,5,3,7,2,1,"Ear, Car, Gal, Ark, Age, Rag, Lag, Are, Ale, Gel",10,10,community
California State University Northridge,4,NA,NA,NA,NA,5,5,5,4,6,2,5,NA,2,4,NA,4,5,5,8,1,"Crackle, Grackle, Lake, Rake, Cake, Leak, Leg, r",6,8,public
RIT,3,2,2,2,4,NA,NA,NA,NA,5,3,5,NA,2,5,NA,3,5,8,3,1,"Keg, crag, lake, care, car, rack, real, age, ace, race, grace, gear, leg, gel, clear, lag, gal, lace, kale, ",19,20,private
