school.x,year,entity1,entity2,entity3,entity4,increment1,increment2,increment3,increment4,ltss1,ltss2r,ltss3,dircheck1,ltss4r,lti1r,dircheck2,lti2,lti3r,ladder,income,gender,anagramwords,correctwords,totalwords,collegetype
UC Santa Barbara,3,NA,NA,NA,NA,4,4,4,4,5,2,5,NA,2,4,NA,5,6,5,5,1,"rake, rag, car, gear, lake, cake, ear, kale, earl, leak",10,10,public
auburn,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,public
Forham,2,4,2,2,4,NA,NA,NA,NA,4,4,4,NA,4,4,NA,4,4,8,1,2,"grackle, lack, leak, cake, lake, gale, lag, leg, keg, car, care, real, rag, rage, race, gel, arc, ace, lark, ark, gear, are, ",22,23,private
IUPUI,3,NA,NA,NA,NA,5,5,5,5,6,3,5,NA,3,7,NA,4,4,9,1,2,"Lake, Car, Rake, Rage, Ear, Care, Cage, Real, Lear, ",9,10,public
kc,1,3,5,3,5,NA,NA,NA,NA,4,6,4,2,3,4,4,2,6,4,2,1,raechelkg,0,1,public
Tacoma Community College,3,NA,NA,NA,NA,5,4,4,5,6,2,5,NA,2,1,NA,7,1,5,3,1,"KEG, CAR, LEG, EAR, GLARE, RACE, GAL, CLEAR, RAG, CREAK, RAKE",11,11,community
Hamline University,4,2,2,2,2,NA,NA,NA,NA,6,2,6,NA,2,1,NA,7,1,7,4,1,"keg, leg, are, lake, cake, rake, gale, kale, leak, crag, lag, rag, creak, real, ",14,15,private
University of St. Francis,4,NA,NA,NA,NA,4,5,6,6,7,2,6,NA,1,1,NA,7,6,5,6,1,"lake, rake, gale, gel, gal, car, carl, care, lag, gar, leg, keg, cake, caker, laker, race, raker, reak, kale, ",16,20,private
Central Michigan University,4,2,1,1,3,NA,NA,NA,NA,6,2,6,NA,2,5,NA,2,5,8,5,2,"Race, Rage, Rake, Ear, Car, Keg, Are, Care, Age, Cage, Leg",11,11,public
Salisbury University ,4,NA,NA,NA,NA,2,1,2,2,2,6,2,NA,2,6,NA,2,6,5,3,1,"Eak, car, keg, gel, ear, age, rage, kale, lake, leak, gear, cage, cake, lear, carl, earl, ekg",15,17,public
"California State University, Sacramento",2,NA,NA,NA,NA,4,6,4,3,5,4,4,NA,3,5,5,6,4,7,1,2,"Creak, Leg, Real, Leak, Keg, ",5,6,public
San Diego City College,6,1,1,1,1,NA,NA,NA,NA,5,2,5,NA,2,6,NA,2,6,9,1,2,"care, race, acre, are, keg, real, rage, glare, car, gar, rag, ace, glace, regal, gale, leg, lake, rake, ear, era, lea, ale, arc, age, ",24,25,community
mt. sac,2,NA,NA,NA,NA,2,1,2,2,5,3,5,NA,3,5,NA,3,5,6,3,1,"crag, leg, race, keg, gear, lack, ace, are, ale, gale, ear, earl, rack, lark, carl, cake, care, regal",18,18,community
uc davis,3,NA,NA,NA,NA,5,5,4,4,4,5,3,NA,5,6,NA,3,5,5,3,1,"lake, lare, gale, race, rale, rake, rage, ear, gear, lear, reak, gar, cage, ",11,14,public
Modesto Junior college,2,NA,NA,NA,NA,2,1,1,1,2,6,1,NA,7,2,NA,3,3,5,1,2,"leak, cage, lake, rake, gale, kale, crag, rack, large, creak, gear, cake, ",12,13,community
University of Texas at Austin,4,4,4,4,4,NA,NA,NA,NA,4,5,4,3,5,5,4,2,6,4,8,2,"rake, keg, lake, cake, gale, kale",6,6,public
Santa Ana College,2,2,3,4,4,NA,NA,NA,NA,4,3,4,NA,4,4,NA,4,6,5,3,1,"large, rake, gel, gal, lark, cake, elk, leg, rag, lake, lace, care, ",12,13,community
snhu,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,private
Golden West College,3,1,1,1,1,NA,NA,NA,NA,4,5,3,6,5,3,6,5,5,9,2,2,"Lark, Rack, Crae, ",2,4,community
Southeastern Oklahoma State University,4,2,2,2,3,NA,NA,NA,NA,5,2,5,NA,2,2,NA,7,2,5,3,1,"lake, gale, rake, kale, rack, lack, era, keg, leg, gel, race, car, crag, ",13,14,public
Winona State University - Rochester,4,NA,NA,NA,NA,4,4,3,4,4,3,5,3,2,5,NA,3,6,8,1,1,"lake, take, rag, lag, krg, gal, care, race, cake, gel, leg, ear, earl, acre, lace, carl, age, rage, cage, ale, grace, ",19,22,public
Florida International University,3,3,3,3,3,NA,NA,NA,NA,6,4,5,NA,4,6,NA,5,5,8,1,1,"leak, rake, lag, lack, rag, cag, lake, are, kale, ale, ",9,11,public
Wittenberg University,1,NA,NA,NA,NA,5,6,6,5,6,1,7,NA,1,6,NA,2,7,7,7,1,"Creak, Leak, Cake, Leg, Rag, Rake, Ale, Car, Gear, Keg, Kale, Glare, ",12,13,private
University of Washington,5,3,3,2,1,NA,NA,NA,NA,3,5,4,NA,5,5,NA,3,5,8,1,2,"leg, rag, ark, ace, kale, grace, lake, rake, cake, gear, ",10,11,public
East Carolina University,4,NA,NA,NA,NA,4,4,4,4,5,3,5,NA,3,3,NA,5,3,7,3,1,"lake, keg, lace, rake, care, car, rag, cake, lag, rage, gar, real, leg, race, lack, lea, kale",17,17,public
Grand Valley State University,4,NA,NA,NA,NA,5,4,5,5,6,5,6,6,5,6,NA,5,6,7,3,1,"race, lake, keg, lag, rake, rag, lace, ",7,8,public
Hunter College (CUNY Hunter),2,4,3,4,4,NA,NA,NA,NA,3,5,3,NA,5,6,NA,2,6,6,5,2,"CAKE, EAR, RAKE, LAKE, GLARE",5,5,public
University of Phoenix,6,NA,NA,NA,NA,3,5,2,2,3,6,2,NA,6,7,NA,1,7,7,2,1,"race, lake, rag, keg, leg, rake, are, rare, rear, ace, care, gear, arc, ark, rack, cake, leak, ",15,18,public
umd,4,3,3,3,4,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,6,4,2,"keg, gel, lace, era, ear, lark, race, car, ale, lake, rag, kale, karl",12,13,public
Utah State University,5,2,2,1,1,NA,NA,NA,NA,5,5,5,NA,5,5,NA,5,5,5,2,2,"rag, gear, are, ear, era, rake, rage, age, keg, leg, gel, real, ale, lea, cage, gal, lag, leak, reak, rack, lack, lear, clear, glare",23,24,public
Pitt,2,NA,NA,NA,NA,5,3,4,4,5,4,5,NA,3,5,NA,3,5,4,5,1,"Lake, Rake, car, ear, ",4,5,public
