In.Age,In.SexElig,In.Race.1,In.Race.2,In.Race.3,In.Race.4,In.Race.6,In.Race.6.TEXT,In.Year,In.MHIncome,In.FHIncome,In.MIncome,In.FIncome,W5.SubSES2,ltss1r,ltss2,ltss3r,ltss4,ltss5,ltss6,ltss7r,ltss8r,lti1r,lti2,lti3r,pwe1,pwe2,pwe3r,pwe4r,gpa
23,1,NA,NA,1,NA,NA,      ,4,NA,NA,0,70000,5,5,1,4,6,2,4,5,3,2,4,3,2,1,7,6,3.5
19,1,NA,NA,1,NA,NA,      ,2,NA,NA,250000,280000,3,2,5,2,5,5,5,3,2,5,1,5,6,2,6,6,3.333
19,1,NA,NA,1,NA,NA,      ,2,NA,NA,0,140000,2,3,2,3,4,4,4,3,3,3,4,3,5,1,7,5,3.925
19,1,NA,NA,1,1,NA,      ,1,90000,100000,NA,NA,5,5,5,4,4,3,3,5,3,4,5,3,3,5,6,6,2.425
19,1,NA,NA,1,NA,NA,      ,1,NA,NA,20000,100000,3,3,5,3,5,5,4,2,4,2,4,5,6,6,5,4,3.59
22,2,NA,NA,NA,NA,NA,      ,4,NA,NA,30000,60000,3,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,NA,NA,NA,NA,NA
19,2,NA,NA,1,NA,NA,      ,2,NA,NA,18000,300000,1,2,6,2,6,6,6,2,2,3,5,5,6,6,2,4,3.6
26,2,NA,1,NA,NA,NA,      ,5,NA,NA,30000,40000,3,3,4,3,5,4,4,3,3,3,4,3,3,3,5,5,NA
21,1,NA,NA,1,NA,NA,      ,3,NA,NA,90000,70000,3,3,4,3,4,3,5,3,4,4,5,3,3,3,5,5,3.825
20,2,NA,1,NA,NA,NA,      ,2,NA,NA,10000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,NA,NA,NA,NA,NA
20,2,NA,NA,1,NA,NA,      ,2,200000,100000,NA,NA,3,2,3,5,4,3,5,3,5,4,2,3,3,3,7,7,3.425
18,2,NA,NA,1,NA,NA,      ,1,NA,NA,0,50000,8,6,5,6,6,6,5,6,6,6,2,5,5,5,6,6,NA
20,2,NA,NA,1,NA,NA,      ,2,NA,NA,0,NA,3,1,3,1,6,3,5,1,1,1,6,1,3,3,6,6,3.425
20,2,NA,NA,1,NA,NA,      ,2,NA,NA,50000,200000,2,3,3,4,4,3,4,3,3,3,3,4,3,3,6,6,3.575
19,1,NA,1,NA,NA,NA,      ,2,NA,NA,0,58000,5,2,3,2,3,2,2,3,2,2,5,3,2,2,6,6,3.333
20,2,NA,NA,1,NA,NA,      ,2,NA,NA,30000,150000,5,6,3,5,3,3,3,6,6,6,1,6,6,3,5,7,3.35
20,2,NA,NA,1,NA,NA,      ,2,200000,90000,NA,NA,2,3,3,4,4,4,4,3,4,2,4,3,5,4,5,5,3.6
21,2,NA,NA,1,NA,NA,      ,4,80000,100000,NA,NA,4,4,2,NA,NA,NA,NA,NA,NA,2,5,2,3,3,6,6,NA
20,2,1,NA,NA,NA,NA,      ,2,65000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,NA,NA,NA,NA
20,2,NA,NA,1,NA,NA,      ,2,NA,NA,0,70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,NA,NA,NA,NA
19,2,NA,1,NA,NA,NA,      ,2,NA,NA,90000,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,NA,NA,NA,NA,NA
21,2,NA,NA,NA,1,NA,      ,3,22000,30000,NA,NA,8,2,5,3,5,6,5,4,5,4,4,4,5,6,6,3,3.467
20,2,NA,NA,1,NA,NA,      ,2,NA,NA,0,1000000,1,2,5,2,6,7,7,2,3,2,4,3,5,2,7,7,3.65
19,2,NA,NA,1,NA,NA,      ,2,NA,NA,NA,NA,3,2,6,2,6,6,6,2,2,5,2,5,5,6,4,4,3.575
20,2,NA,NA,1,NA,NA,      ,2,NA,NA,500000,0,1,1,6,1,6,5,5,2,2,4,3,4,4,4,6,7,3.229
20,1,NA,NA,1,1,NA,      ,2,NA,NA,10000,5000,6,3,5,2,6,4,5,2,3,2,6,2,5,5,6,6,3.161
19,1,NA,NA,1,NA,NA,      ,1,NA,NA,0,250000,1,3,3,3,3,3,5,3,3,3,3,3,5,5,3,3,3.925
19,1,NA,1,NA,NA,NA,      ,1,NA,NA,80000,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,NA,NA,NA,NA,NA
21,2,NA,NA,1,NA,NA,      ,3,NA,NA,20000,50000,2,3,5,2,6,2,3,3,3,4,3,4,3,5,5,5,4
22,2,NA,NA,1,NA,NA,      ,4,NA,NA,300000,500000,1,4,5,3,5,5,5,3,4,5,3,5,6,6,6,6,3.9
