MedianIncome_BlockGroup,gpa,Fixed,Check.1a,Check.1b,Growth,Check.2a,Check.2b,Control,persist1,persist2,persist3,persist4,persist5,persist6,Age,Gender,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,LadderUS
"42,529",3.3067,1,1,2,NA,NA,NA,NA,4,7,5,5,2,2,14,1,NA,NA,1,NA,NA,NA,NA,6
"74,604",2.5467,NA,NA,NA,1,1,2,NA,3,2,4,5,3,2,14,1,1,NA,1,1,NA,NA,NA,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112,642",4.2765,NA,NA,NA,1,1,2,NA,1,1,1,1,1,1,14,2,NA,NA,NA,NA,1,NA,1,6
"42,529",3.6267,1,1,2,NA,NA,NA,NA,3,3,2,2,2,2,14,1,NA,NA,1,1,NA,NA,NA,6
"60,938",2,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,14,2,NA,NA,NA,1,NA,NA,NA,5
"61,442",3.4682,1,1,2,NA,NA,NA,NA,4,5,5,4,4,4,14,2,NA,NA,1,NA,NA,NA,NA,1
"79,460",3.5143,NA,NA,NA,1,1,2,NA,2,1,1,2,2,2,14,2,NA,NA,NA,1,NA,NA,NA,4
"82,895",2.2192,NA,NA,NA,NA,NA,NA,1,4,3,3,3,3,3,14,2,NA,NA,NA,1,NA,NA,NA,7
"129,659",3.0469,1,1,2,NA,NA,NA,NA,5,5,5,5,5,7,14,1,NA,1,NA,NA,NA,NA,NA,7
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92,222",3.8,1,1,2,NA,NA,NA,NA,3,3,4,3,3,4,14,2,NA,NA,NA,NA,NA,NA,1,7
"77,778",3.9188,1,1,2,NA,NA,NA,NA,7,5,7,6,6,6,14,2,NA,NA,1,NA,NA,NA,NA,8
"77,778",3.96,NA,NA,NA,1,1,2,NA,7,5,6,4,2,5,14,2,NA,NA,NA,NA,NA,NA,1,7
"77,778",3.0067,1,1,2,NA,NA,NA,NA,3,5,2,2,3,3,14,1,NA,1,NA,NA,NA,NA,1,2
"149,185",4.0143,NA,NA,NA,1,1,2,NA,5,4,5,7,3,2,14,1,NA,NA,NA,NA,NA,NA,1,9
"60,938",4.3824,1,1,2,NA,NA,NA,NA,3,2,2,2,3,2,15,2,NA,NA,NA,NA,NA,NA,1,6
"79,460",4.0692,1,1,2,NA,NA,NA,NA,4,2,4,4,3,2,14,2,NA,NA,NA,NA,NA,NA,1,7
"81,087",3.6933,1,1,2,NA,NA,NA,NA,3,3,3,4,2,3,14,2,NA,NA,NA,NA,NA,NA,1,5
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178,750",4.0125,NA,NA,NA,NA,NA,NA,1,3,2,3,2,2,2,14,1,NA,NA,NA,NA,NA,NA,1,2
"79,460",3.975,1,1,2,NA,NA,NA,NA,4,3,5,3,2,2,14,2,NA,NA,NA,NA,1,NA,NA,7
"120,536",4.4063,NA,NA,NA,NA,NA,NA,1,2,3,4,4,3,3,14,2,NA,NA,NA,NA,NA,NA,1,8
"46,357",4.3722,NA,NA,NA,1,1,2,NA,2,2,2,2,2,2,14,1,NA,NA,NA,NA,NA,NA,1,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61,442",3.7824,1,1,2,NA,NA,NA,NA,1,2,3,2,2,2,14,1,NA,NA,NA,1,NA,NA,1,6
"129,659",4.1813,NA,NA,NA,1,1,2,NA,4,1,1,2,2,2,14,2,NA,NA,NA,NA,NA,NA,1,5
"107,917",4.3643,NA,NA,NA,1,1,2,NA,3,2,3,2,3,2,14,1,NA,NA,NA,NA,NA,NA,1,8
"53,854",4.1583,1,1,2,NA,NA,NA,NA,5,3,4,4,3,4,14,2,NA,1,NA,NA,NA,NA,1,5
"62,679",3.2567,NA,NA,NA,1,1,2,NA,5,5,5,5,5,5,14,2,NA,NA,1,NA,NA,NA,NA,6
"74,604",2.5615,1,1,2,NA,NA,NA,NA,4,2,2,2,4,2,15,2,1,NA,NA,NA,NA,NA,1,8
"120,536",3.7538,1,1,2,NA,NA,NA,NA,3,2,2,2,2,2,14,2,NA,NA,NA,NA,NA,NA,1,7
"116,125",4,NA,NA,NA,NA,NA,NA,1,5,2,4,2,2,2,14,1,NA,NA,NA,NA,NA,NA,1,8
"57,872",1.62,NA,NA,NA,1,1,2,NA,2,1,2,1,1,1,14,1,NA,NA,1,NA,NA,NA,NA,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178,750",4.3143,NA,NA,NA,1,1,2,NA,4,3,3,3,4,3,14,1,NA,NA,NA,NA,NA,NA,1,7
"88,813",4.1375,1,1,2,NA,NA,NA,NA,1,1,1,2,1,1,14,1,NA,NA,NA,NA,NA,NA,1,8
"93,813",3.0333,NA,NA,NA,NA,NA,NA,1,3,1,1,1,1,1,14,1,1,1,NA,NA,NA,NA,1,7
"132,361",3.1467,NA,NA,NA,1,1,2,NA,5,5,4,4,3,5,14,1,NA,NA,NA,NA,NA,NA,1,7
"129,659",3.1867,1,1,2,NA,NA,NA,NA,2,2,3,2,2,3,14,1,NA,NA,NA,NA,1,NA,1,7
"52,367",3.9133,NA,NA,NA,1,1,2,NA,1,1,2,2,2,1,14,1,NA,NA,NA,NA,NA,NA,1,9
"120,536",4.1125,NA,NA,NA,1,1,2,NA,1,1,1,1,1,1,14,1,NA,NA,NA,NA,NA,NA,1,5
"56,912",4.1714,1,1,2,NA,NA,NA,NA,5,2,4,2,2,3,14,1,NA,NA,NA,NA,NA,NA,1,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,1,2,NA,NA,NA,NA,5,5,7,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,1,2,NA,NA,NA,NA,4,4,4,4,4,4,15,2,NA,1,1,NA,NA,NA,NA,5
"71,136",2,NA,NA,NA,1,1,2,NA,4,4,4,4,4,4,14,1,NA,NA,1,NA,NA,NA,NA,10
"15,208",2.7077,1,1,2,NA,NA,NA,NA,5,1,2,2,1,1,14,2,NA,NA,NA,NA,NA,NA,1,7
"120,536",4.4286,NA,NA,NA,1,1,2,NA,5,2,1,2,1,1,14,2,NA,1,NA,NA,NA,NA,1,7
"178,750",4.375,1,1,2,NA,NA,NA,NA,3,2,2,2,2,2,15,1,NA,NA,NA,NA,NA,NA,1,8
"35,766",2.4882,NA,NA,NA,NA,NA,NA,1,2,4,5,4,2,3,14,1,NA,NA,1,NA,NA,NA,NA,8
"129,659",2.3167,1,1,2,NA,NA,NA,NA,4,2,4,4,3,2,15,1,NA,NA,NA,NA,NA,NA,1,7
"62,679",3.0643,NA,NA,NA,NA,NA,NA,1,3,4,4,4,4,4,15,2,1,NA,1,NA,NA,NA,NA,5
"15,208",3.7,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,14,2,NA,1,NA,NA,NA,NA,NA,7
"15,208",4.4529,NA,NA,NA,1,1,2,NA,3,4,3,3,3,3,14,1,NA,NA,NA,1,NA,NA,1,5
"116,125",3.8286,NA,NA,NA,1,1,2,NA,3,1,4,3,1,1,14,1,NA,1,NA,NA,NA,NA,NA,6
"49,564",2.4571,NA,NA,NA,NA,NA,NA,1,2,4,2,2,2,4,14,1,NA,1,NA,NA,NA,NA,NA,5
"62,829",4.3824,NA,NA,NA,1,1,2,NA,1,1,1,1,1,1,14,1,NA,NA,NA,1,NA,NA,NA,7
"87,813",3.5357,NA,NA,NA,NA,NA,NA,1,3,2,4,4,3,2,14,1,NA,NA,NA,1,NA,NA,1,5
"65,658",3.7667,NA,NA,NA,1,1,2,NA,4,2,2,2,2,2,14,1,NA,NA,NA,NA,NA,NA,1,9
"71,136",3.6188,NA,NA,NA,1,1,2,NA,2,5,5,5,5,5,14,2,NA,NA,NA,1,NA,NA,1,5
"120,536",4.2533,1,1,2,NA,NA,NA,NA,4,2,2,2,2,2,14,2,NA,NA,NA,NA,NA,NA,1,6
"65,658",3.9438,NA,NA,NA,NA,NA,NA,1,3,3,3,1,1,1,14,1,NA,NA,NA,NA,NA,NA,1,5
"15,208",NA,NA,NA,NA,1,1,2,NA,2,2,3,2,4,3,14,1,NA,1,NA,NA,NA,NA,NA,7
"116,125",4.0188,NA,NA,NA,NA,NA,NA,1,3,2,5,5,2,2,14,2,NA,NA,NA,NA,NA,NA,1,6
NA,NA,1,1,2,NA,NA,NA,NA,6,5,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88,813",4.0357,1,1,2,NA,NA,NA,NA,1,1,1,1,1,1,14,2,NA,NA,1,NA,NA,NA,1,6
"62,829",3.4526,NA,NA,NA,NA,NA,NA,1,5,3,4,4,4,4,14,1,NA,NA,NA,NA,NA,NA,1,6
"106,991",4.1929,1,1,2,NA,NA,NA,NA,2,2,2,2,2,2,14,2,NA,NA,NA,NA,NA,NA,1,6
"15,208",4.1857,NA,NA,NA,1,1,2,NA,2,2,3,2,2,2,14,1,NA,NA,NA,NA,NA,NA,1,7
"98,438",4.3875,NA,NA,NA,1,1,2,NA,2,1,2,2,1,1,14,2,NA,NA,NA,NA,NA,NA,1,10
"18,438",4.4,NA,NA,NA,1,1,2,NA,3,2,2,2,2,3,15,2,NA,NA,NA,NA,NA,NA,1,8
"18,438",3.8286,1,1,2,NA,NA,NA,NA,4,3,2,4,4,4,15,1,NA,NA,NA,NA,NA,NA,1,6
"65,658",4.15,1,1,2,NA,NA,NA,NA,3,2,2,3,2,2,14,1,NA,NA,NA,NA,NA,NA,1,7
"49,750",3.0438,1,1,2,NA,NA,NA,NA,4,4,4,4,4,4,14,2,NA,NA,1,NA,NA,NA,1,6
"98,438",4.36,1,1,2,NA,NA,NA,NA,2,2,3,2,4,3,14,1,NA,NA,NA,NA,NA,NA,1,6
NA,NA,1,1,2,NA,NA,NA,NA,3,2,5,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120,536",4.3857,1,1,2,NA,NA,NA,NA,2,2,3,2,2,2,14,2,NA,NA,NA,NA,NA,NA,1,6
"178,750",3.8071,NA,NA,NA,1,1,2,NA,4,3,5,1,1,3,15,1,NA,NA,NA,NA,NA,NA,1,6
"98,438",3.925,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,14,1,NA,NA,NA,NA,NA,NA,1,8
"113,917",3.48,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,14,2,NA,NA,NA,NA,NA,NA,1,10
"88,813",4.2688,NA,NA,NA,NA,NA,NA,1,4,5,4,4,3,5,15,2,NA,NA,NA,NA,NA,NA,1,7
"106,991",2.8357,1,1,2,NA,NA,NA,NA,2,2,4,2,2,1,14,1,1,NA,NA,NA,NA,NA,1,7
"77,778",4.06,NA,NA,NA,1,1,2,NA,1,2,2,2,2,3,14,2,NA,NA,NA,NA,NA,NA,1,6
"98,438",3.8733,NA,NA,NA,1,1,2,NA,2,2,3,2,2,2,14,2,NA,NA,NA,NA,NA,NA,1,8
"85,395",3.2133,NA,NA,NA,NA,NA,NA,1,6,5,5,6,5,5,14,1,NA,NA,NA,NA,NA,NA,1,9
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112,642",4.0611,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,4,14,1,NA,NA,NA,NA,NA,NA,1,9
"49,750",3.425,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,15,1,NA,NA,NA,NA,NA,NA,1,6
"215,104",4.4375,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,14,1,NA,NA,NA,NA,NA,NA,1,5
"89,327",3.4571,NA,NA,NA,NA,NA,NA,1,7,3,3,5,4,4,14,1,NA,NA,NA,NA,NA,NA,1,6
"88,813",4.3214,NA,NA,NA,NA,NA,NA,1,3,2,3,5,2,3,14,1,NA,NA,NA,NA,NA,NA,1,8
"79,460",4.1947,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,14,1,NA,1,NA,NA,NA,NA,NA,9
"57,872",3.3867,NA,NA,NA,NA,NA,NA,1,2,1,3,5,2,2,14,1,NA,1,NA,NA,NA,NA,NA,6
"132,361",4.3467,NA,NA,NA,NA,NA,NA,1,3,1,5,2,2,2,14,2,NA,NA,NA,NA,NA,NA,1,7
"98,438",2.4667,1,1,2,NA,NA,NA,NA,3,1,5,4,4,4,14,1,NA,NA,NA,NA,NA,NA,1,5
"178,750",3.9643,1,1,2,NA,NA,NA,NA,2,2,3,2,3,2,14,1,NA,1,NA,NA,1,NA,1,8
"194,444",3.9824,NA,NA,NA,NA,NA,NA,1,1,2,3,5,1,1,14,2,NA,NA,NA,NA,NA,NA,1,8
"112,642",2.6143,NA,NA,NA,1,1,2,NA,3,5,5,5,5,5,14,1,NA,NA,NA,NA,NA,NA,1,8
"18,864",3.0467,NA,NA,NA,NA,NA,NA,1,4,5,6,5,4,5,14,2,NA,1,1,NA,NA,NA,NA,5
NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52,367",3.2,1,1,2,NA,NA,NA,NA,2,5,4,4,4,4,14,2,NA,NA,NA,NA,1,NA,1,8
"120,536",4.1625,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,14,1,NA,NA,NA,NA,NA,NA,1,6
NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74,604",1.9067,NA,NA,NA,1,1,2,NA,4,4,5,4,4,7,14,1,NA,NA,1,NA,NA,NA,NA,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131,103",2.7143,NA,NA,NA,NA,NA,NA,1,4,4,4,5,2,3,14,2,NA,NA,1,NA,NA,NA,NA,5
"65,658",2.7294,NA,NA,NA,1,1,2,NA,4,4,4,4,4,4,14,1,NA,NA,1,NA,NA,NA,NA,5
NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,6,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65,658",4.2286,1,1,2,NA,NA,NA,NA,3,4,5,5,3,4,14,2,NA,NA,NA,NA,NA,NA,1,8
